index,CPIAUCSL_QoQ,CPILFESL_QoQ,PPIACO_QoQ,CL=F_QoQ,GDP_QoQ,GDPC1_QoQ,INDPRO_QoQ,UNRATE_QoQ,PAYEMS_QoQ,MANEMP_QoQ,ICSA_QoQ,IC4WSA_QoQ,RRSFS_QoQ,^GSPC_QoQ,^VIX_QoQ,DX-Y.NYB_QoQ,M2SL_QoQ,TB6SMFFM,T10Y2Y,T2Y3M,T5Y2Y,prev1_decision,prev2_decision,unemp_idx,b_idx,ir_idx,pmi_QoQ
1994-03-31,0.5468215994531622,0.6480881399870464,0.927487352445211,,1.4530625466762537,0.9703629882517051,1.3782979305246412,0.0,0.8199494320002776,0.4876598275349364,11.03448275862069,3.9473684210526327,2.2196234174979734,,,,0.16117426967909854,0.44,1.56,1.4100000000000001,0.9400000000000004,3.25,3.05,117.0,90.0,46.0,2.338129496402863
1994-06-30,0.5438477226376692,0.7083065035415226,0.6683375104427736,,1.8449328325780945,1.355182630845131,1.740911570110737,-6.153846153846154,0.8777429467084596,0.6628395573178736,5.900621118012417,1.2658227848101333,0.26413384829195863,-0.33649640778172785,-26.797067439927847,-3.6965343888449853,-0.017240883882641,0.3,1.15,1.6799999999999997,0.7700000000000005,4.01,3.56,109.0,85.0,32.0,3.3391915641476144
1994-09-30,0.9465855307640325,0.7033248081841359,0.4149377593360981,,1.1610984015164583,0.5845845553328566,1.0903925996066821,-3.2786885245901565,0.8823606649217774,0.6173202422246948,-4.692082111436946,-2.8676470588235303,1.4397194078771047,4.150629774103143,-4.6092219221754664,-1.9415369781724534,0.18968242563586202,0.31,1.0,1.6399999999999997,0.6900000000000004,4.47,4.26,107.0,84.0,30.0,0.3401360544217802
1994-12-31,0.5358338914936311,0.5079365079365239,0.7438016528925617,,1.6943354146561118,1.1455701559946796,2.4985049031969853,-6.779661016949157,0.8034916310186047,0.6076896108449192,-1.8461538461538418,-2.195306585919754,0.9444289262499961,-0.7434467603754435,-7.563024817237462,0.9672350137477581,0.008605605117462112,0.76,0.15,1.83,0.1900000000000004,5.29,4.76,112.0,88.0,27.0,-4.915254237288136
1995-03-31,0.7328447701532292,1.0107391029690493,1.6406890894175463,,0.8987043827146657,0.3547805075420518,0.21412312853150706,-1.8181818181818077,0.6326771280762422,0.26135439656174153,4.0752351097178785,5.340557275541791,-0.9527940648558109,9.02301553175786,1.2878793844725678,-7.697511070274265,0.1348095456631393,-0.09,0.4,0.8700000000000001,0.2699999999999996,5.92,5.53,112.0,83.0,34.0,-7.1301247771836
1995-06-30,0.793650793650813,0.7504690431519689,1.1299435028248483,,0.7804539283188916,0.298322846097121,0.6356657444766656,3.703703703703698,0.32760803366749247,-0.09268377454672017,7.831325301204828,7.641440117560627,1.8159440643924052,8.79551223192896,-14.884067226264975,-0.3907200108208886,1.655638623929434,-0.58,0.42,0.08000000000000007,0.20999999999999996,6.01,6.05,103.0,81.0,59.0,-11.900191938579663
1995-09-30,0.45931758530182165,0.6828057107386654,-0.07980845969672856,,1.347157900207585,0.8507255022384363,1.2847697075392572,0.0,0.496201754610337,0.0,-0.8379888268156388,-0.6825938566552892,0.27216837359003154,7.2803989251089885,11.950787724083089,3.3218914239360187,1.4990560455352409,-0.5,0.34,0.3799999999999999,0.1900000000000004,5.74,5.85,108.0,74.0,76.0,4.793028322440085
1995-12-31,0.5225342913128816,0.5548705302096169,0.39936102236421966,,1.1643829821849971,0.6790820510536255,0.4259899276436441,0.0,0.38346355823639655,-0.09276975705919677,1.1267605633802802,-0.20618556701030855,1.1108645810221196,5.393477349753373,-1.726839225328991,0.5576002083261811,0.7606673884678505,-0.47,0.4,0.03000000000000025,0.1899999999999995,5.8,5.76,104.0,74.0,71.0,-3.9501039501039448
1996-03-31,1.0396361273554255,0.797057020232983,0.5568814638027053,,1.2335920117191312,0.7490501226268043,0.7542096217576288,-1.7857142857142794,0.5637016691316221,-0.2205327607219587,9.47075208913648,7.713498622589521,0.6129674059336399,4.800871474980117,50.79870982799433,2.076444623027718,1.5814850530376123,-0.35,0.55,0.5600000000000005,0.3099999999999996,5.22,5.56,103.0,70.0,86.0,1.5151515151515138
1996-06-30,0.7717041800642921,0.6082725060827299,1.2658227848101111,,2.088996231540885,1.6679441018912833,2.528086448722089,-3.6363636363636376,0.6538254672582955,0.19193857965451588,-14.249363867684483,-12.34015345268542,0.2442748091603164,3.893106875726171,-27.54236804415028,1.5025463502049252,0.9655808402723176,-0.02,0.62,1.0699999999999994,0.39000000000000057,5.24,5.22,104.0,77.0,58.0,14.285714285714302
1996-09-30,0.638162093171668,0.6650544135429204,0.15624999999999112,,1.2270629067677286,0.8970337411311258,1.1378140066814701,-1.8867924528301772,0.5260081823495133,0.145129455474291,3.264094955489605,0.0,0.8325718347040212,2.4901975881543637,23.90351158491186,0.1366462616705144,0.8300873069174042,-0.06,0.62,0.9900000000000002,0.3699999999999992,5.22,5.4,108.0,86.0,51.0,-4.664179104477617
1996-12-31,0.887761572606216,0.540540540540535,0.7020280811232515,,1.57860729654693,1.0383695301930063,1.5046530115361278,3.8461538461538547,0.6171096345515048,0.19129325836182431,2.586206896551735,3.1363967906637535,0.3560280219226941,7.770644641808189,23.421823803304775,0.2729109132438845,1.7370917035221423,-0.25,0.55,0.7400000000000002,0.29000000000000004,5.31,5.24,112.0,89.0,52.0,8.023483365949113
